Tempo (anos),População de Coelhos (em milhares),População de Linces,k1x,k1y,k2x,k2y
0,139.4,209.0,0.0,0.0,0.0,0.0
1,137.29353575858002,221.64442024142,-1.2545999999999973,12.414599999999998,-2.9583284828400007,12.874240482840001
2,133.50119352688418,234.35880040640768,-2.971638984389129,12.698792516791535,-4.613045479002565,12.729967813183823
3,128.1848594556698,246.66643604283468,-4.586940862407419,12.538475535271642,-6.045727280021333,12.07679573758234
4,121.61627979442073,258.06505615512,-5.981930545447764,11.88558755315495,-7.15522877705036,10.911652671415597
5,114.14449982798767,268.07913367317906,-7.061656115639823,10.73970758211437,-7.881903817226309,9.288447454003746
6,106.15131609971363,276.3116636896679,-7.7708586618477336,9.153427933590947,-8.215508794700348,7.311632099386736
7,98.0055640046125,282.48365100972916,-8.100583534416977,7.225913659186268,-8.190920655785286,5.118060980936278
8,90.02641689890484,286.4533820634037,-8.08385673836813,5.0862774585122965,-7.874437473047168,2.8531846488367227
9,82.46166025799039,288.21395865620406,-7.783088215960283,2.8721010306689543,-7.3464250658686225,0.649052154931726
10,75.48156466598707,287.8734632645242,-7.274269488720311,0.709484847822061,-6.685921695286325,-1.3904756311817497
11,69.18493995623913,285.62527070145063,-6.632826499825423,-1.3007376281390992,-5.960422919670429,-3.195647498008052
12,63.612290182093126,281.7160510676128,-5.923979212216585,-3.0890544526516415,-5.221320336075428,-4.729384815023983
13,58.761370710141264,276.4169972111072,-5.198145153047728,-4.616680895942671,-4.503693790855995,-5.9814268170685345
14,54.60187829021081,270.00119597133687,-4.490367501677699,-5.8707181331826215,-3.8286173381832094,-6.960884346358041
15,51.08757210357915,262.7278633895269,-3.822196782596131,-6.857523237068656,-3.206415590667192,-7.6891419265513266
16,48.16532903984895,254.83277439469438,-3.2046142438159158,-7.596100406630403,-2.6398718836444854,-8.194077583034586
17,45.78135645826066,246.52358767149678,-2.641038620888258,-8.112517522717502,-2.1269065422883187,-8.505855923677695
18,43.88510440478689,237.97866081865882,-2.1299129509059354,-8.435702771161676,-1.662591156041607,-8.654150934514256
19,42.43148100053769,229.34812546842878,-1.6666974951808307,-8.594574489354498,-1.240549313317562,-8.666496211105573
20,41.38190563694693,220.75626932819733,-1.2452844282150315,-8.616269409151734,-0.8538662989664831,-8.56744287131115
21,40.704618734978794,212.3045498710337,-0.8589339787145176,-8.525186440151883,-0.4956398252217571,-8.378252474175396
22,40.374549838613255,204.07479685285094,-0.5008520112059588,-8.342588231480978,-0.1592857815251134,-8.116917804884537
23,40.372947269449924,196.1323360603226,-0.16451808861765393,-8.086555691887769,0.161312950290997,-7.7983658931689295
